seed,max_yield_index,done_index,max_yield
2767,60,60,99.99246091271331
2768,60,60,99.99248331149631
2769,60,60,99.99248331149631
2770,55,55,99.99246091271331
2771,65,65,99.99246091271331
2772,75,75,99.99248331149631
2773,55,55,99.99246091271331
2774,65,65,99.99248331149631
2775,50,50,99.99248331149631
2776,55,55,99.99246091271331
2777,60,60,99.99248331149631
2778,30,30,99.99246091271331
2779,65,65,99.99248331149631
2780,65,65,99.99246091271331
2781,60,60,99.99246091271331
2782,40,40,99.99248331149631
2783,70,70,99.99246091271331
2784,65,65,99.99248331149631
2785,60,60,99.99248331149631
2786,70,70,99.99246091271331
2787,65,65,99.99246091271331
2788,65,65,99.99246091271331
2789,90,90,99.99248331149631
2790,70,70,99.99248331149631
2791,55,55,99.99246091271331
2792,70,70,99.99246091271331
2793,65,65,99.99248331149631
2794,45,45,99.99246091271331
2795,60,60,99.99246091271331
2796,50,50,99.99248331149631
2797,85,85,99.99246091271331
2798,80,80,99.99248331149631
2799,50,50,99.99246091271331
2800,60,60,99.99248331149631
2801,80,80,99.99246091271331
2802,65,65,99.99248331149631
2803,85,85,99.99248331149631
2804,55,55,99.99246091271331
2805,75,75,99.99248331149631
2806,65,65,99.99248331149631
2807,65,65,99.99248331149631
2808,40,40,99.99248331149631
2809,45,45,99.99246091271331
2810,70,70,99.99246091271331
2811,70,70,99.99248331149631
2812,3,3,99.99246091271331
2813,75,75,99.99246091271331
2814,70,70,99.99248331149631
2815,55,55,99.99248331149631
2816,45,45,99.99246091271331
2817,100,100,99.99248331149631
2818,70,70,99.99246091271331
2819,55,55,99.99248331149631
2820,70,70,99.99246091271331
2821,70,70,99.99248331149631
2822,80,80,99.99248331149631
2823,55,55,99.99248331149631
2824,80,80,99.99246091271331
2825,70,70,99.99246091271331
2826,65,65,99.99246091271331
2827,45,45,99.99246091271331
2828,70,70,99.99246091271331
2829,60,60,99.99248331149631
2830,25,25,99.99246091271331
2831,75,75,99.99246091271331
2832,70,70,99.99248331149631
2833,65,65,99.99246091271331
2834,70,70,99.99248331149631
2835,80,80,99.99246091271331
2836,65,65,99.99246091271331
2837,60,60,99.99246091271331
2838,65,65,99.99246091271331
2839,8,8,99.99248331149631
2840,65,65,99.99248331149631
2841,60,60,99.99246091271331
2842,45,45,99.99246091271331
2843,70,70,99.99246091271331
2844,80,80,99.99248331149631
2845,75,75,99.99248331149631
2846,65,65,99.99246091271331
2847,70,70,99.99248331149631
2848,60,60,99.99246091271331
2849,75,75,99.99246091271331
2850,70,70,99.99246091271331
2851,65,65,99.99246091271331
2852,75,75,99.99248331149631
2853,65,65,99.99246091271331
2854,70,70,99.99246091271331
2855,60,60,99.99246091271331
2856,60,60,99.99246091271331
2857,55,55,99.99246091271331
2858,70,70,99.99246091271331
2859,70,70,99.99246091271331
2860,85,85,99.99246091271331
2861,70,70,99.99248331149631
2862,70,70,99.99246091271331
2863,40,40,99.99246091271331
2864,65,65,99.99246091271331
2865,65,65,99.99248331149631
2866,60,60,99.99248331149631
2867,10,10,99.99246091271331
2868,55,55,99.99246091271331
2869,45,45,99.99248331149631
2870,65,65,99.99246091271331
2871,75,75,99.99246091271331
2872,65,65,99.99248331149631
2873,70,70,99.99246091271331
2874,70,70,99.99246091271331
2875,65,65,99.99248331149631
2876,55,55,99.99246091271331
2877,80,80,99.99246091271331
2878,55,55,99.99248331149631
2879,60,60,99.99246091271331
2880,80,80,99.99248331149631
2881,65,65,99.99246091271331
2882,45,45,99.99248331149631
2883,60,60,99.99248331149631
2884,55,55,99.99248331149631
2885,65,65,99.99248331149631
2886,65,65,99.99248331149631
2887,55,55,99.99246091271331
2888,85,85,99.99246091271331
2889,60,60,99.99246091271331
2890,75,75,99.99248331149631
2891,70,70,99.99248331149631
2892,75,75,99.99248331149631
2893,55,55,99.99246091271331
2894,70,70,99.99248331149631
2895,40,40,99.99248331149631
2896,55,55,99.99248331149631
2897,65,65,99.99248331149631
2898,65,65,99.99246091271331
2899,60,60,99.99248331149631
2900,4,4,99.99248331149631
2901,75,75,99.99246091271331
2902,65,65,99.99246091271331
2903,65,65,99.99248331149631
2904,60,60,99.99246091271331
2905,55,55,99.99246091271331
2906,65,65,99.99248331149631
2907,50,50,99.99248331149631
2908,75,75,99.99246091271331
2909,70,70,99.99248331149631
2910,60,60,99.99246091271331
2911,80,80,99.99248331149631
2912,80,80,99.99246091271331
2913,60,60,99.99246091271331
2914,80,80,99.99248331149631
2915,70,70,99.99246091271331
2916,75,75,99.99246091271331
2917,70,70,99.99246091271331
2918,75,75,99.99246091271331
2919,65,65,99.99248331149631
2920,65,65,99.99248331149631
2921,70,70,99.99248331149631
2922,75,75,99.99248331149631
2923,90,90,99.99246091271331
2924,40,40,99.99248331149631
2925,60,60,99.99246091271331
2926,45,45,99.99248331149631
2927,75,75,99.99246091271331
